Name,RouteID
7Y - 7Y LINC-N FAIRLNGTON (70),7Yc
7Y - 7Y LINC-N FAIRLNGTON (70),7Yv1
80 - 80 NORTH CAPITOL ST  (86),80
80 - 80 NORTH CAPITOL ST  (86),80c
80 - 80 NORTH CAPITOL ST  (86),80cv1
80 - 80 NORTH CAPITOL ST  (86),80v1
81 - 81 COLLEGE PARK     (74),81
82 - 82 COLLEGE PARK     (74),82
83 - 83 COLLEGE PARK     (74),83
86 - 86 COLLEGE PARK     (74),86
86 - 86 COLLEGE PARK     (74),86v2
87 - 87 LAUREL EXPRESS    (526),87
87 - 87 LAUREL EXPRESS    (526),87c
87 - 87 LAUREL EXPRESS    (526),87cv1
87 - 87 LAUREL EXPRESS    (526),87cv2
87 - 87 LAUREL EXPRESS    (526),87v1
87 - 87 LAUREL EXPRESS    (526),87v2
89 - 89 LAUREL            (525),89
89M - 89M LAUREL            (525),89M
89 - 89 LAUREL            (525),89v1
8S - 8S FOXCHASE-SEM VALL (106),8S
8W - 8W FOXCHASE-SEM VALL (106),8W
8Z - 8Z FOXCHASE-SEM VALL (106),8Z
90 - 90 U ST-GARFIELD     (130),90
90 - 90 U ST-GARFIELD     (130),90v1
90 - 90 U ST-GARFIELD     (130),90v2
92 - 92 U ST-GARFIELD     (130),92
92 - 92 U ST-GARFIELD     (130),92c
93 - 93 U ST-GARFIELD     (130),93
93 - 93 U ST-GARFIELD     (130),93cv1
94 - 94 STANTON ROAD      (141),94
96 - 96 EAST CAP-CARDOZO  (18),96
96 - 96 EAST CAP-CARDOZO  (18),96c
96 - 96 EAST CAP-CARDOZO  (18),96cv1
96 - 96 EAST CAP-CARDOZO  (18),96cv3
96 - 96 EAST CAP-CARDOZO  (18),96v1
96 - 96 EAST CAP-CARDOZO  (18),96v2
96 - 96 EAST CAP-CARDOZO  (18),96vS1
97 - 97 EAST CAP-CARDOZO  (18),97
97 - 97 EAST CAP-CARDOZO  (18),97vS1
9A - 9A HUNT-PENT (31),9A
9A - 9A HUNT-PENT (31),9Ac
